[0827/181039.600:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181039.601:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181039.602:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181039.602:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181039.603:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181039.604:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.550:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.551:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.551:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.552:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.552:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.553:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.553:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181040.554:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.073:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.074:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.075:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.075:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.076:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.076:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.077:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.077:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.670:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0827/181107.671:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
